fTNear,fTFar,fDelT,fQNear,fQFar,fQMean,fQRatio,fZDelT,fZQ,fZMean,correct
200188810,200188806,-4,2084,5325,3331.26,0.938124,24.2562,32.0166,28.1364,-3.91
202701361,202701369,7,2018,1375,1665.76,-0.383653,-52.2974,-28.4133,-40.3553,7.09
203788795,203788802,6,1850,1086,1417.43,-0.532684,-43.6187,-35.4295,-39.5241,6.09
204607919,204607927,7,4325,1387,2449.24,-1.13727,-52.2974,-64.3136,-58.3055,7.09
211803976,211803980,3,2376,1339,1783.67,-0.573495,-20.8744,-37.3579,-29.1162,3.09
213987100,213987106,5,2242,1156,1609.89,-0.662403,-35.5471,-41.5698,-38.5585,5.09
216154648,216154655,6,2433,1345,1808.97,-0.592731,-43.6187,-38.268,-40.9433,6.09
216288429,216288450,20,1391,286,630.734,-1.58179,-260.308,-85.9817,-173.145,20.09
219590779,219590786,6,3275,1532,2239.93,-0.759744,-43.6187,-46.198,-44.9083,6.09
222734016,222734026,9,1892,44821,9208.76,3.16504,-71.8275,126.522,27.3474,9.09
235198125,235198131,5,1974,1427,1678.36,-0.324488,-35.5471,-25.6392,-30.5932,5.09
235256859,235256862,2,2389,1417,1839.89,-0.522333,-14.0977,-34.9408,-24.5192,2.09
238754854,238754859,4,2173,960,1444.33,-0.816931,-27.9949,-48.9252,-38.4601,4.09
243442782,243442781,-1,771,1702,1145.53,0.791871,5.04683,25.4891,15.268,-0.91
245207573,245207579,5,3619,1316,2182.34,-1.0116,-35.5471,-58.2542,-46.9006,5.09
249032969,249032975,5,2459,1302,1789.31,-0.635853,-35.5471,-40.3105,-37.9288,5.09
251660086,251660093,6,3013,1152,1863.06,-0.961437,-43.6187,-55.8435,-49.7311,6.09
258992267,258992281,13,590,3749,1487.25,1.84912,-122.035,71.7858,-25.1248,13.09
260641873,260641878,4,3122,1542,2194.11,-0.705394,-27.9949,-43.6117,-35.8033,4.09
261890472,261890473,0,11087,11153,11120.0,0.00593527,-1.22487,-10.266,-5.74546,0.09
265384822,265384830,7,2864,1566,2117.79,-0.603695,-52.2974,-38.787,-45.5422,7.09
280372556,280372562,5,2921,1169,1847.88,-0.915777,-35.5471,-53.6534,-44.6002,5.09
282183315,282183320,4,1863,1408,1619.6,-0.280018,-27.9949,-23.5585,-25.7767,4.09
290585037,290585042,4,2827,1078,1745.71,-0.964109,-27.9949,-55.9718,-41.9833,4.09
293621402,293621410,7,2930,931,1651.61,-1.1465,-52.2974,-64.7598,-58.5286,7.09
297083715,297083721,5,2260,1168,1624.71,-0.660072,-35.5471,-41.4592,-38.5032,5.09
297244430,297244448,17,2783,1165,1800.61,-0.870808,-191.788,-51.5001,-121.644,17.09
298204246,298204254,7,1836,1113,1429.5,-0.50053,-52.2974,-33.9122,-43.1048,7.09
299614601,299614609,7,2865,1068,1749.23,-0.986781,-52.2974,-57.0608,-54.6791,7.09
302573577,302573583,5,2785,1593,2106.3,-0.558629,-35.5471,-36.6551,-36.1011,5.09
306079171,306079178,6,4103,1426,2418.86,-1.05685,-43.6187,-60.4324,-52.0255,6.09
307442959,307442963,3,788,977,877.426,0.214989,-20.8744,-0.643933,-10.7592,3.09
312685825,312685832,6,2848,1225,1867.83,-0.843676,-43.6187,-50.2027,-46.9107,6.09
315025759,315025766,6,2923,1484,2082.72,-0.677869,-43.6187,-42.304,-42.9613,6.09
317056924,317056930,5,3636,1428,2278.64,-0.934609,-35.5471,-54.5562,-45.0516,5.09
320039242,320039249,6,3878,1553,2454.09,-0.915131,-43.6187,-53.6224,-48.6205,6.09
331811154,331811160,5,3131,1275,1998.01,-0.898406,-35.5471,-52.8211,-44.1841,5.09
339160521,339160526,4,2377,1602,1951.4,-0.394586,-27.9949,-28.9266,-28.4608,4.09
342504991,342504998,6,2781,1367,1949.78,-0.710192,-43.6187,-43.8398,-43.7292,6.09
347367717,347367722,4,2335,1613,1940.71,-0.369916,-27.9949,-27.7686,-27.8818,4.09
348977246,348977234,-12,1886,676,1129.13,-1.02602,93.8202,-58.948,17.4361,-11.91
351727830,351727834,3,2049,1377,1679.72,-0.397445,-20.8744,-29.0608,-24.9676,3.09
356811622,356811628,5,2658,1462,1971.29,-0.597769,-35.5471,-38.5064,-37.0267,5.09
364762974,364762980,5,2440,1293,1776.21,-0.635033,-35.5471,-40.2717,-37.9094,5.09
366251253,366251258,4,1992,1058,1451.74,-0.632759,-27.9949,-40.1639,-34.0794,4.09
368971370,368971377,6,2191,1145,1583.89,-0.648953,-43.6187,-40.9317,-42.2752,6.09
376271298,376271301,2,2170,1916,2039.05,-0.124487,-14.0977,-16.31,-15.2038,2.09
378256597,378256602,4,3235,1228,1993.13,-0.968642,-27.9949,-56.1895,-42.0922,4.09
382169514,382169522,7,3907,1633,2525.89,-0.872351,-52.2974,-51.5739,-51.9357,7.09
384047821,384047827,5,3228,1299,2047.72,-0.910268,-35.5471,-53.3894,-44.4682,5.09
386906785,386906782,-3,1102,2807,1758.78,0.93499,17.6996,31.8772,24.7884,-2.91
392720971,392720978,6,4047,1326,2316.53,-1.11581,-43.6187,-63.2768,-53.4477,6.09
394937256,394937264,7,1714,1402,1550.17,-0.20093,-52.2974,-19.867,-36.0822,7.09
397209261,397209266,4,3312,1453,2193.7,-0.823922,-27.9949,-49.259,-38.627,4.09
398181060,398181068,7,2506,1263,1779.07,-0.685198,-52.2974,-42.6521,-47.4747,7.09
400271475,400271479,3,2500,1755,2094.64,-0.353822,-20.8744,-27.0138,-23.9441,3.09
403113976,403113982,5,3042,1733,2296.04,-0.562661,-35.5471,-36.8457,-36.1964,5.09
403386249,403386255,5,3507,1771,2492.17,-0.683217,-35.5471,-42.558,-39.0525,5.09
407824390,407824397,6,4089,1949,2823.02,-0.740984,-43.6187,-45.3047,-44.4617,6.09
411667552,411667558,5,2963,1083,1791.35,-1.00647,-35.5471,-58.0072,-46.7772,5.09
416065611,416065618,6,3444,1616,2359.13,-0.75668,-43.6187,-46.0521,-44.8354,6.09
417250022,417250028,5,3241,1319,2067.58,-0.899008,-35.5471,-52.85,-44.1985,5.09
417299294,417299299,4,2108,1643,1861.03,-0.249216,-27.9949,-22.1194,-25.0572,4.09
418714926,418714934,7,2779,1127,1769.73,-0.902532,-52.2974,-53.0187,-52.6581,7.09
419795005,419795011,5,2886,1116,1794.65,-0.950121,-35.5471,-55.3003,-45.4237,5.09
427883574,427883578,3,3660,1740,2523.57,-0.743578,-20.8744,-45.4282,-33.1513,3.09
431725260,431725267,6,3522,1772,2498.2,-0.68692,-43.6187,-42.7339,-43.1763,6.09
