fTNear,fTFar,fDelT,fQNear,fQFar,fQMean,fQRatio,fZDelT,fZQ,fZMean,correct
1217102822,1217102818,-4,985,3389,1827.06,1.23565,24.2562,45.1737,34.715,-3.91
1221455302,1221455298,-4,976,2886,1678.31,1.08416,24.2562,38.4952,31.3757,-3.91
1222532968,1222532989,20,763,2968,1504.85,1.35839,-260.308,50.5536,-104.877,20.09
1223795046,1223795040,-6,1377,3417,2169.15,0.908856,38.2688,30.7135,34.4912,-5.91
1224192460,1224192471,10,441,902,630.7,0.71557,-82.8543,22.0679,-30.3932,10.09
1224525630,1224525624,-6,1213,3027,1916.18,0.914475,38.2688,30.9639,34.6163,-5.91
1224680115,1224680121,5,163,915,386.193,1.72517,-35.5471,66.4651,15.459,5.09
1232445225,1232445219,-6,1385,3041,2052.26,0.786486,38.2688,25.248,31.7584,-5.91
1233817688,1233817685,-3,1212,2710,1812.32,0.804677,17.6996,26.0622,21.8809,-2.91
1235479379,1235479373,-6,1153,3186,1916.63,1.0164,38.2688,35.494,36.8814,-5.91
1236021557,1236021553,-4,1540,3328,2263.87,0.770589,24.2562,24.536,24.3961,-3.91
1242319873,1242319869,-4,769,2890,1490.77,1.32392,24.2562,49.0457,36.651,-3.91
1243431659,1243431654,-5,813,2542,1437.58,1.13998,31.0834,40.9607,36.022,-4.91
1245614510,1245614506,-4,878,2760,1556.69,1.14534,24.2562,41.1974,32.7268,-3.91
1246133624,1246133622,-2,1575,4215,2576.55,0.984394,11.3257,34.0736,22.6996,-1.91
1246381122,1246381117,-5,1244,1739,1470.82,0.334978,31.0834,4.84234,17.9629,-4.91
1259350875,1259350871,-4,1145,2760,1777.7,0.879826,24.2562,29.4195,26.8378,-3.91
1262153913,1262153906,-7,884,3245,1693.69,1.30041,45.9003,48.016,46.9581,-6.91
1269778424,1269778420,-4,1156,2764,1787.51,0.871713,24.2562,29.0575,26.6569,-3.91
1270459881,1270459877,-4,1186,2561,1742.8,0.769812,24.2562,24.5011,24.3787,-3.91
1271495160,1271495162,1,8353,18987,12593.6,0.821134,-7.57712,26.7983,9.6106,1.09
1272549070,1272549074,3,5265,2741,3798.86,-0.652758,-20.8744,-41.1122,-30.9933,3.09
1275898638,1275898633,-5,1394,3492,2206.32,0.918297,31.0834,31.1341,31.1087,-4.91
1275988305,1275988301,-4,1356,3417,2152.55,0.924224,24.2562,31.398,27.8271,-3.91
1276854492,1276854510,17,1237,3364,2039.92,1.00044,-191.788,34.786,-78.501,17.09
1279544254,1279544250,-4,1080,2384,1604.59,0.791819,24.2562,25.4868,24.8715,-3.91
1282116932,1282116927,-5,1050,3492,1914.84,1.20168,31.0834,43.68,37.3817,-4.91
1283148678,1283148673,-5,1118,3341,1932.68,1.09473,31.0834,38.9624,35.0229,-4.91
1283223672,1283223691,18,447,851,616.763,0.643854,-212.938,18.8425,-97.0479,18.09
1285754290,1285754285,-5,933,2569,1548.19,1.01287,31.0834,35.3373,33.2103,-4.91
