fTNear,fTFar,fDelT,fQNear,fQFar,d
1173256642,1173256647,5,2279,1589,-40
1174730624,1174730630,6,1921,776,-40
1176211462,1176211455,-7,1831,9105,-40
1179120244,1179120251,7,3426,1211,-40
1180374178,1180374183,5,2812,1389,-40
1181539595,1181539603,8,2377,1619,-40
1181647305,1181647290,-15,714,342,-40
1183141600,1183141606,6,3168,1187,-40
1183228526,1183228508,-18,982,123,-40
1187032188,1187032194,6,2600,1347,-40
1195898662,1195898671,9,3588,1192,-40
1198053907,1198053889,-18,1178,444,-40
1202328253,1202328258,5,3045,1301,-40
1202440719,1202440715,-4,1052,3592,-40
1208214071,1208214066,-5,1994,5680,-40
1218252258,1218252262,4,3465,1443,-40
1218325966,1218325970,4,3379,1683,-40
1220147393,1220147399,6,3936,2026,-40
1223195762,1223195768,6,2158,1366,-40
1226937484,1226937488,4,4379,2386,-40
1229211361,1229211368,7,3237,1655,-40
1231356765,1231356771,6,2055,1192,-40
1233338046,1233338050,4,1777,1722,-40
1237911168,1237911174,6,3314,1686,-40
1240907965,1240907969,4,1704,1440,-40
1241339501,1241339507,6,3739,969,-40
1244470027,1244470033,6,2803,1252,-40
1244937946,1244937955,9,1677,1140,-40
1244976586,1244976570,-16,1885,1029,-40
1245246702,1245246709,7,4128,1084,-40
1246908256,1246908262,6,2952,1584,-40
1249855990,1249855997,7,2672,1298,-40
1256412138,1256412146,8,2707,1136,-40
1257637930,1257637927,-3,1188,2710,-40
1257783555,1257783562,7,3152,1538,-40
1261244243,1261244249,6,2937,965,-40
1263409725,1263409733,8,3462,1440,-40
1264944229,1264944234,5,1676,1419,-40
1273516595,1273516601,6,1990,710,-40
1275243346,1275243342,-4,1280,2817,-40
1283525737,1283525742,5,3471,1344,-40
1284969634,1284969616,-18,3182,1290,-40
1285215889,1285215894,5,1682,1331,-40
1288930383,1288930388,5,2141,966,-40
1289465438,1289465418,-20,2206,1014,-40
1290842270,1290842277,7,2837,1147,-40
1291658596,1291658604,8,1990,1181,-40
1300876470,1300876474,4,3133,2283,-40
1301535121,1301535129,8,1958,1110,-40
1301982753,1301982759,6,2122,959,-40
1302861312,1302861322,10,2085,940,-40
1302919769,1302919762,-7,1812,381,-40
1306476005,1306476011,6,2857,1170,-40
1307154102,1307154110,8,2742,1315,-40
1307490783,1307490778,-5,1649,4037,-40
1308338863,1308338871,8,2865,1241,-40
1317512421,1317512421,0,2467,3852,-40
1318162857,1318162864,7,3751,1713,-40
1320694305,1320694310,5,2768,1023,-40
1322731780,1322731786,6,3081,1369,-40
1325096610,1325096614,4,3514,2002,-40
1329254868,1329254862,-6,30559,13627,-40
1329601140,1329601146,6,2407,1305,-40
1329711439,1329711428,-11,4804,1750,-40
1329896289,1329896294,5,3494,1453,-40
1335622621,1335622627,6,1510,1187,-40
1342794518,1342794522,4,3771,1666,-40
1342889964,1342889970,6,2900,1630,-40
1347268493,1347268498,5,3370,1512,-40
1355529401,1355529406,5,3004,1274,-40
1357172822,1357172828,6,2540,1239,-40
1357591974,1357591981,7,3006,1540,-40
1360437378,1360437384,6,2502,1447,-40
1361540161,1361540166,5,2988,1482,-40
1370244564,1370244568,4,2013,1743,-40
1370407351,1370407363,12,494,194,-40
1374668188,1374668191,3,2202,1268,-40
1376996241,1376996247,6,2811,1052,-40
1377492115,1377492119,4,1796,1428,-40
1377964982,1377964988,6,2550,888,-40
1379272230,1379272237,7,2794,869,-40
1379338128,1379338115,-13,1638,467,-40
1386115004,1386115009,5,3383,1285,-40
1386847545,1386847550,5,3277,1488,-40
1388568490,1388568495,5,3314,1511,-40
1388892809,1388892815,6,3167,1591,-40
1390854758,1390854779,21,761,174,-40
1393072325,1393072330,5,3654,1498,-40
1393561902,1393561911,9,2817,1200,-40
1394912393,1394912401,8,4329,1685,-40
1397372198,1397372203,5,3447,1448,-40
1397927202,1397927208,6,2092,1430,-40
1400405298,1400405306,8,2164,858,-40
1402186113,1402186118,5,3797,1720,-40
1403832252,1403832259,7,2167,1407,-40
1404220968,1404220974,6,2917,1171,-40
1407160650,1407160657,7,2642,1336,-40
1411794062,1411794069,7,3817,1165,-40
1416931294,1416931299,5,2449,958,-40
1422958866,1422958873,7,2253,1456,-40
1423552518,1423552526,8,2255,1839,-40
1430895518,1430895524,6,2554,1327,-40
1431086997,1431087003,6,2912,1386,-40
1432592895,1432592902,7,3251,1493,-40
1436052701,1436052708,7,2223,1188,-40
1443990478,1443990486,8,2835,1437,-40
1447556379,1447556385,6,3338,1334,-40
1451085893,1451085899,6,3740,1220,-40
1451692662,1451692664,2,1465,1821,-40
1455668336,1455668341,5,9180,6418,-40
1457172375,1457172381,6,3453,1304,-40
1461281475,1461281481,6,2694,1324,-40
1470252412,1470252408,-4,1162,2756,-40
1470331406,1470331412,6,1931,1665,-40
1471241721,1471241728,7,2618,1349,-40
1480823980,1480823986,6,3042,1171,-40
1482738916,1482738923,7,4242,2056,-40
1484395320,1484395326,6,3504,1869,-40
1484670801,1484670806,5,3095,1518,-40
1485422500,1485422507,7,2694,1274,-40
1487371614,1487371620,6,3062,1191,-40
1488872879,1488872885,6,2851,1145,-40
1490791774,1490791755,-19,1226,816,-40
1491144237,1491144237,0,1300,2221,-40
1491268055,1491268060,5,2693,1230,-40
1494041633,1494041639,6,3909,1760,-40
1497397584,1497397590,6,4029,1379,-40
1504074681,1504074687,6,2590,925,-40
1504892591,1504892598,7,1451,1052,-40
1508732470,1508732475,5,2664,1484,-40
1509011507,1509011512,5,2248,1147,-40
1515107686,1515107690,4,3479,1461,-40
1515290746,1515290751,5,3520,1106,-40
1518882264,1518882270,6,3594,1133,-40
1520013946,1520013951,5,3280,1548,-40
1530153542,1530153546,4,1722,748,-40
1532295445,1532295451,6,2653,1002,-40
1533204203,1533204210,7,2710,1448,-40
1539035862,1539035869,7,3733,1339,-40
1543734807,1543734813,6,2651,1140,-40
1545457685,1545457693,8,2800,1071,-40
1547443206,1547443222,16,1208,2750,-40
1553836957,1553836955,-2,534,678,-40
1556310464,1556310470,6,4018,1592,-40
1559190750,1559190755,5,2615,1242,-40
1560367113,1560367121,8,3013,1838,-40
1561432670,1561432675,5,2783,1476,-40
1562947303,1562947310,7,2627,1125,-40
1565380234,1565380240,6,2932,1195,-40
1567566135,1567566141,6,2992,1235,-40
1568849534,1568849540,6,2726,1586,-40
1570062950,1570062956,6,1531,930,-40
1573435997,1573435982,-15,1707,561,-40
1574528743,1574528749,6,2457,1162,-40
1581431544,1581431538,-6,1522,4338,-40
1584108910,1584108905,-5,1162,3224,-40
1589258090,1589258090,0,4852,5836,-40
1592594586,1592594595,9,1943,850,-40
1593538818,1593538824,6,3090,1128,-40
1596758614,1596758622,8,3090,1386,-40
1597608806,1597608810,4,2017,940,-40
1598550456,1598550454,-2,18886,11466,-40
1598880974,1598880963,-11,1207,263,-40
1599898710,1599898705,-5,1153,2901,-40
1604493202,1604493210,8,2582,1037,-40
1608423370,1608423377,7,2476,1217,-40
1608759832,1608759833,1,1289,1804,-40
1610384475,1610384469,-6,1637,4850,-40
1612371601,1612371607,6,2805,1411,-40
1616399897,1616399902,5,3491,1486,-40
1617479462,1617479440,-22,1529,1545,-40
1618605539,1618605541,2,1968,2172,-40
1619133630,1619133635,5,2598,1273,-40
1620889684,1620889691,7,3158,1317,-40
1621328993,1621328998,5,2642,1061,-40
1624869603,1624869609,6,3168,942,-40
1625243951,1625243946,-5,1444,5505,-40
1625534369,1625534375,6,2113,1581,-40
1628992097,1628992102,5,2681,1259,-40
1631195086,1631195089,3,1153,999,-40
1631616297,1631616302,5,2830,1875,-40
1638291039,1638291046,7,3168,1347,-40
1639959385,1639959391,6,2773,927,-40
1644014466,1644014472,6,1922,1428,-40
1645881531,1645881526,-5,1230,3206,-40
1647731771,1647731777,6,2907,1740,-40
1647923318,1647923325,7,2336,1089,-40
1648552918,1648552915,-3,921,338,-40
1649532154,1649532161,7,3008,1411,-40
1653020963,1653020970,7,3441,1629,-40
1653894634,1653894634,0,1204,2412,-40
1655754282,1655754289,7,3122,1308,-40
1656057159,1656057145,-14,1387,322,-40
1658291585,1658291590,5,2020,926,-40
1658570311,1658570298,-13,2951,1230,-40
1661546770,1661546777,7,3043,1212,-40
1662373074,1662373074,0,1390,1733,-40
1662985981,1662985985,4,1628,1189,-40
1668431957,1668431964,7,3071,1258,-40
1670275395,1670275402,7,3886,1181,-40
1674457832,1674457839,7,2029,1254,-40
1679777599,1679777606,7,2794,887,-40
1682150047,1682150053,6,2253,1124,-40
1683125969,1683125974,5,2256,1267,-40
1683450562,1683450563,1,29442,24990,-40
1688244717,1688244722,5,2899,1835,-40
1688396687,1688396693,6,1926,1124,-40
1691347256,1691347263,7,2181,1289,-40
1691560293,1691560298,5,2344,1251,-40
1701411282,1701411286,4,3685,1670,-40
1703230527,1703230531,4,2778,1939,-40
1707453029,1707453036,7,3051,1402,-40
1708020529,1708020516,-13,2849,1156,-40
1711634363,1711634370,7,2839,1170,-40
1719051574,1719051582,8,2708,1640,-40
1720314790,1720314795,5,1592,1159,-40
1720833874,1720833880,6,3208,1494,-40
1724987021,1724987027,6,2401,966,-40
1726755939,1726755939,0,966,794,-40
1731756578,1731756585,7,3272,1198,-40
1734072275,1734072282,7,4090,1366,-40
1735245838,1735245842,4,2077,1024,-40
1739084623,1739084621,-2,1825,3612,-40
1743681331,1743681338,7,3499,1863,-40
1744259962,1744259964,2,2126,1057,-40
1744292887,1744292867,-20,3269,1599,-40
1745562873,1745562891,18,1912,1155,-40
1746035343,1746035332,-11,3802,1492,-40
1749741605,1749741603,-2,1549,3282,-40
1754863460,1754863466,6,3533,1454,-40
1755819555,1755819562,7,2780,1369,-40
1756966017,1756966022,5,2504,943,-40
1758524831,1758524839,8,2705,1370,-40
1759782529,1759782522,-7,557,2402,-40
1761055949,1761055962,13,18462,31910,-40
1761562763,1761562769,6,3284,1232,-40
1761747012,1761747018,6,2545,1247,-40
1771311098,1771311103,5,3001,925,-40
1771492961,1771492963,2,1974,884,-40
1772769803,1772769809,6,4067,886,-40
1773300698,1773300702,4,2452,1220,-40
1774686738,1774686743,5,2187,1162,-40
1781836928,1781836933,5,2262,1778,-40
1784332076,1784332082,6,2884,1507,-40
1788038226,1788038232,6,2446,1577,-40
1790505214,1790505217,3,1356,1118,-40
1791910635,1791910642,7,2574,1049,-40
1798015942,1798015949,7,4355,1286,-40
1798554112,1798554096,-16,2244,869,-40
1799415880,1799415887,7,5157,1641,-40
1802484878,1802484886,8,3385,1148,-40
1803291660,1803291642,-18,3211,902,-40
1805536252,1805536259,7,2557,934,-40
1808875294,1808875302,8,2700,1565,-40
1809172116,1809172122,6,2951,1547,-40
1810416817,1810416822,5,4950,2063,-40
1812411087,1812411081,-6,1939,7782,-40
1814736379,1814736387,8,2247,1136,-40
1816624986,1816624981,-5,1884,6278,-40
1822750296,1822750302,6,2540,1130,-40
1822918098,1822918083,-15,2762,1270,-40
1829140950,1829140957,7,2673,1352,-40
1832856306,1832856313,7,3121,1887,-40
1842897933,1842897939,6,2256,942,-40
1844173587,1844173595,8,2599,1023,-40
