fTNear,fTFar,fDelT,fQNear,fQFar,fQMean,fQRatio,fZDelT,fZQ,fZMean,correct
289097033,289097031,-2,866,1332,1074.02,0.430552,11.3257,9.1932,10.2595,-1.91
294723867,294723868,0,1702,2425,2031.59,0.354027,-1.22487,5.71088,2.24301,0.09
295559070,295559070,0,1055,1356,1196.07,0.250998,-1.22487,1.00534,-0.109764,0.09
297953890,297953891,0,1439,1326,1381.34,-0.0817815,-1.22487,-14.3275,-7.77616,0.09
302690090,302690095,4,3488,1602,2363.85,-0.778076,-27.9949,-47.0716,-37.5333,4.09
305936131,305936128,-3,1595,1845,1715.45,0.145606,17.6996,-3.82847,6.93557,-2.91
306701293,306701296,2,1595,1755,1673.09,0.0955951,-14.0977,-6.12937,-10.1135,2.09
307471884,307471883,-1,1005,1692,1304.02,0.520924,5.04683,13.2917,9.16927,-0.91
308312174,308312171,-3,693,1334,961.489,0.654907,17.6996,19.3403,18.52,-2.91
310178603,310178601,-2,1083,1447,1251.84,0.289757,11.3257,2.77784,7.05179,-1.91
311557677,311557675,-2,1066,2054,1479.72,0.655876,11.3257,19.3839,15.3548,-1.91
312804506,312804503,-3,1049,1535,1268.94,0.380693,17.6996,6.92555,12.3126,-2.91
313706626,313706624,-2,1125,1962,1485.68,0.556181,11.3257,14.8866,13.1062,-1.91
319365497,319365494,-3,1289,2369,1747.47,0.608601,17.6996,17.2536,17.4766,-2.91
325409846,325409843,-3,1215,2478,1735.16,0.712708,17.6996,21.9394,19.8195,-2.91
325695390,325695389,-1,1354,2169,1713.72,0.471203,5.04683,11.0387,8.04275,-0.91
326903303,326903301,-2,1339,1694,1506.08,0.23517,11.3257,0.280661,5.8032,-1.91
332264792,332264791,-1,1526,3221,2217.04,0.747042,5.04683,23.4804,14.2636,-0.91
332492337,332492358,20,1024,1177,1097.84,0.139252,-260.308,-4.12052,-132.214,20.09
334757165,334757162,-3,1100,1852,1427.31,0.520956,17.6996,13.2932,15.4964,-2.91
339252254,339252252,-2,1236,1939,1548.1,0.450292,11.3257,10.0897,10.7077,-1.91
351396238,351396237,-1,1008,1716,1315.19,0.532028,5.04683,13.7943,9.42054,-0.91
354005502,354005503,0,958,1872,1339.17,0.669915,-1.22487,20.0157,9.39543,0.09
359120973,359120971,-2,1468,1468,1468.0,0.0,11.3257,-10.5404,0.392662,-1.91
360571042,360571041,-1,758,1799,1167.75,0.864303,5.04683,28.7268,16.8868,-0.91
366004293,366004291,-2,1539,2330,1893.64,0.414735,11.3257,8.47434,9.90004,-1.91
366055243,366055261,17,847,1703,1201.02,0.698446,-191.788,21.2987,-85.2447,17.09
368867891,368867886,-5,1512,3700,2365.25,0.8949,31.0834,30.0916,30.5875,-4.91
372362520,372362518,-2,830,1095,953.336,0.277084,11.3257,2.19857,6.76215,-1.91
374665415,374665414,-1,1317,1596,1449.8,0.192144,5.04683,-1.69147,1.67768,-0.91
374849947,374849963,15,785,1674,1146.34,0.757288,-154.118,23.9398,-65.0889,15.09
381230923,381230918,-5,1251,3029,1946.61,0.884289,31.0834,29.6185,30.3509,-4.91
384236533,384236533,0,991,1941,1386.91,0.672244,-1.22487,20.1205,9.44783,0.09
386491225,386491226,0,1184,2062,1562.5,0.554778,-1.22487,14.8232,6.79915,0.09
386640731,386640730,-1,1502,2050,1754.74,0.311042,5.04683,3.75004,4.39844,-0.91
386691518,386691518,0,1206,1829,1485.18,0.41646,-1.22487,8.55275,3.66394,0.09
387946941,387946937,-4,1362,2909,1990.49,0.758855,24.2562,24.0101,24.1332,-3.91
388167794,388167791,-3,1661,2579,2069.71,0.439982,17.6996,9.62157,13.6606,-2.91
389815294,389815294,0,1536,2517,1966.24,0.493886,-1.22487,12.0671,5.42111,0.09
389957314,389957315,0,772,983,871.135,0.241625,-1.22487,0.57624,-0.324313,0.09
391888671,391888670,-1,806,1774,1195.76,0.788908,5.04683,25.3565,15.2017,-0.91
393100875,393100875,0,873,1086,973.693,0.218321,-1.22487,-0.491208,-0.858037,0.09
393338746,393338747,0,544,1155,792.666,0.752906,-1.22487,23.7434,11.2593,0.09
394212875,394212869,-6,987,2814,1666.56,1.04769,38.2688,36.881,37.5749,-5.91
394639719,394639718,-1,938,2022,1377.18,0.768092,5.04683,24.4241,14.7355,-0.91
394771403,394771404,0,1825,2271,2035.82,0.21864,-1.22487,-0.476574,-0.85072,0.09
400883230,400883230,0,2244,1760,1987.32,-0.242946,-1.22487,-21.8267,-11.5258,0.09
404263503,404263500,-3,1552,2757,2068.54,0.574599,17.6996,15.7188,16.7092,-2.91
404414770,404414766,-4,838,1760,1214.45,0.742051,24.2562,23.2565,23.7564,-3.91
408070073,408070070,-3,1000,2069,1438.4,0.727065,17.6996,22.5841,20.1418,-2.91
415110194,415110193,-1,34418,54852,43449.9,0.466059,5.04683,10.8053,7.92606,-0.91
418024514,418024511,-3,527,1179,788.247,0.805221,17.6996,26.0866,21.8931,-2.91
421154499,421154502,2,1763,1526,1640.22,-0.144367,-14.0977,-17.234,-15.6658,2.09
423981939,423981937,-2,1151,1299,1222.76,0.120964,11.3257,-4.96163,3.18205,-1.91
429516842,429516835,-7,1055,3146,1821.82,1.09259,45.9003,38.8679,42.3841,-6.91
430070298,430070297,-1,879,1024,948.734,0.152687,5.04683,-3.50304,0.771893,-0.91
432006572,432006572,0,1418,2190,1762.22,0.434654,-1.22487,9.37956,4.07735,0.09
433627074,433627075,0,1034,1891,1398.32,0.603671,-1.22487,17.0312,7.90316,0.09
435343958,435343959,0,1342,1334,1337.99,-0.00597909,-1.22487,-10.8169,-6.02086,0.09
438702882,438702881,-1,619,984,780.446,0.463521,5.04683,10.6901,7.86848,-0.91
439433979,439433978,-1,1363,2208,1734.79,0.482399,5.04683,11.5464,8.29661,-0.91
439599398,439599398,0,1277,2589,1818.28,0.706758,-1.22487,21.6722,10.2236,0.09
440166780,440166779,-1,1034,2370,1565.43,0.829455,5.04683,27.1703,16.1086,-0.91
440424609,440424598,-11,197,4400,931.021,3.10616,82.642,124.141,103.392,-10.91
448315189,448315189,0,1223,2261,1662.89,0.6145,-1.22487,17.5196,8.14739,0.09
450312282,450312288,5,2848,1151,1810.54,-0.905986,-35.5471,-53.1842,-44.3656,5.09
452072644,452072643,-1,1544,2520,1972.53,0.489882,5.04683,11.8856,8.46623,-0.91
452274107,452274105,-2,870,1276,1053.62,0.382992,11.3257,7.03022,9.17798,-1.91
456270345,456270344,-1,1387,2499,1861.75,0.588748,5.04683,16.3577,10.7023,-0.91
463459753,463459752,-1,1262,2026,1599.0,0.473366,5.04683,11.1368,8.09179,-0.91
468462644,468462642,-2,1102,2847,1771.27,0.949139,11.3257,32.5067,21.9162,-1.91
469516953,469516951,-2,1163,2264,1622.66,0.66613,11.3257,19.8454,15.5856,-1.91
471501496,471501493,-3,804,1915,1240.83,0.867874,17.6996,28.8862,23.2929,-2.91
473435643,473435643,0,1078,1838,1407.61,0.533571,-1.22487,13.8641,6.3196,0.09
476017238,476017238,0,2929,3188,3055.76,0.0847327,-1.22487,-6.62974,-3.9273,0.09
478464307,478464305,-2,1114,1895,1452.94,0.531262,11.3257,13.7596,12.5427,-1.91
482233234,482233238,3,1745,1848,1795.76,0.0573494,-20.8744,-7.89211,-14.3832,3.09
484270173,484270173,0,1444,1675,1555.22,0.148396,-1.22487,-3.70022,-2.46254,0.09
490753679,490753677,-2,1857,2695,2237.1,0.372436,11.3257,6.54956,8.93765,-1.91
493635074,493635076,1,1193,1729,1436.21,0.371072,-7.57712,6.48744,-0.544838,1.09
494838689,494838687,-2,1350,2024,1653.0,0.404971,11.3257,8.03032,9.67803,-1.91
495646915,495646914,-1,653,1831,1093.45,1.03104,5.04683,36.1432,20.595,-0.91
495948714,495948714,0,859,1634,1184.74,0.643017,-1.22487,18.8049,8.79,0.09
506984695,506984693,-2,1248,1585,1406.44,0.239042,11.3257,0.457999,5.89187,-1.91
507494499,507494501,1,812,1109,948.951,0.311714,-7.57712,3.7807,-1.89821,1.09
508887762,508887762,0,1253,1598,1415.02,0.243212,-1.22487,0.648925,-0.28797,0.09
509005798,509005797,-1,1696,2481,2051.29,0.380389,5.04683,6.91171,5.97927,-0.91
509217996,509218002,5,4321,2191,3076.9,-0.679129,-35.5471,-42.3638,-38.9555,5.09
509544604,509544602,-2,1765,2196,1968.74,0.218487,11.3257,-0.483606,5.42106,-1.91
518378982,518378981,-1,1065,1303,1178.0,0.201694,5.04683,-1.25341,1.89671,-0.91
521985905,521985900,-5,1500,2762,2035.44,0.61049,31.0834,17.3388,24.2111,-4.91
522375066,522375061,-5,1161,2664,1758.67,0.830547,31.0834,27.2191,29.1513,-4.91
527091922,527091923,0,2554,2688,2620.14,0.0511367,-1.22487,-8.17871,-4.70179,0.09
529134262,529134262,0,1217,2078,1590.26,0.535017,-1.22487,13.9295,6.35232,0.09
533293796,533293795,-1,733,1719,1122.51,0.852352,5.04683,28.1933,16.6201,-0.91
534779498,534779498,0,1531,2467,1943.44,0.477082,-1.22487,11.3053,5.04021,0.09
535961285,535961286,0,1416,1883,1632.89,0.28503,-1.22487,2.56181,0.668471,0.09
538474906,538474905,-1,1326,1905,1589.35,0.362315,5.04683,6.08854,5.56768,-0.91
538938559,538938556,-3,1138,1663,1375.68,0.379351,17.6996,6.86444,12.282,-2.91
540785854,540785853,-1,1654,2634,2087.26,0.465307,5.04683,10.7712,7.90901,-0.91
542094783,542094782,-1,1207,245,543.797,-1.59464,5.04683,-86.6134,-40.7833,-0.91
544116110,544116109,-1,1654,2337,1966.06,0.345671,5.04683,5.32997,5.1884,-0.91
545614858,545614862,3,2668,1511,2007.82,-0.568557,-20.8744,-37.1244,-28.9994,3.09
548289042,548289039,-3,1593,3275,2284.09,0.720699,17.6996,22.2983,19.9989,-2.91
548766242,548766239,-3,1710,2213,1945.31,0.257856,17.6996,1.31913,9.50937,-2.91
549337064,549337063,-1,875,1472,1134.9,0.520153,5.04683,13.2568,9.15183,-0.91
557045598,557045594,-4,1527,2327,1885.03,0.421275,24.2562,8.77161,16.5139,-3.91
559612734,559612733,-1,1386,1716,1542.2,0.213574,5.04683,-0.708766,2.16903,-0.91
562091119,562091137,17,727,212,392.586,-1.23234,-191.788,-68.9172,-130.353,17.09
562501138,562501136,-2,1281,2253,1698.85,0.564622,11.3257,15.2681,13.2969,-1.91
564980954,564980954,0,1362,1355,1358.5,-0.00515275,-1.22487,-10.7787,-6.00176,0.09
569318832,569318830,-2,1064,2246,1545.88,0.747115,11.3257,23.4837,17.4047,-1.91
574023139,574023138,-1,1221,2255,1659.32,0.61348,5.04683,17.4736,11.2602,-0.91
575014726,575014724,-2,813,1682,1169.39,0.727008,11.3257,22.5815,16.9536,-1.91
579992002,579992000,-2,1336,1908,1596.59,0.356375,11.3257,5.81789,8.57181,-1.91
580875599,580875600,0,1994,1969,1981.46,-0.0126169,-1.22487,-11.1239,-6.17436,0.09
583748398,583748397,-1,965,1991,1386.12,0.724264,5.04683,22.4583,13.7526,-0.91
585631898,585631898,0,1375,1941,1633.67,0.34475,-1.22487,5.28794,2.03154,0.09
586852622,586852621,-1,1146,1758,1419.39,0.427899,5.04683,9.07266,7.05975,-0.91
589294598,589294598,0,1102,2072,1511.07,0.631388,-1.22487,18.2809,8.52803,0.09
590885476,590885477,0,1186,1543,1352.77,0.263142,-1.22487,1.56099,0.168063,0.09
599780457,599780456,-1,1105,1646,1348.64,0.398503,5.04683,7.73609,6.39146,-0.91
601400926,601400926,0,1376,1797,1572.47,0.266938,-1.22487,1.73461,0.25487,0.09
607084945,607084945,0,1484,2050,1744.19,0.323099,-1.22487,4.30036,1.53775,0.09
611856278,611856278,0,1480,1936,1692.71,0.268582,-1.22487,1.8098,0.292466,0.09
619637002,619637002,0,1281,1528,1399.06,0.176319,-1.22487,-2.4177,-1.82128,0.09
620970385,620970382,-3,1831,2673,2212.3,0.378339,17.6996,6.81838,12.259,-2.91
627610193,627610201,7,5873,1404,2871.53,-1.43104,-52.2974,-78.5926,-65.445,7.09
628709785,628709781,-4,918,967,942.182,0.0520011,24.2562,-8.13883,8.0587,-3.91
630392527,630392524,-3,1643,3058,2241.49,0.621237,17.6996,17.8234,17.7615,-2.91
632968218,632968215,-3,1396,2548,1886.0,0.601698,17.6996,16.9422,17.3209,-2.91
633442966,633442964,-2,1335,2232,1726.19,0.513967,11.3257,12.9767,12.1512,-1.91
636287069,636287070,0,1557,1652,1603.8,0.0592258,-1.22487,-7.80557,-4.51522,0.09
641182517,641182516,-1,1187,1533,1348.95,0.255797,5.04683,1.22496,3.13589,-0.91
641350536,641350529,-7,1347,2465,1822.18,0.604312,45.9003,17.0601,31.4802,-6.91
642757006,642757007,0,1509,2299,1862.58,0.421027,-1.22487,8.76035,3.76774,0.09
643022662,643022662,0,1363,2298,1769.79,0.522351,-1.22487,13.3563,6.06573,0.09
646306847,646306854,6,3579,2516,3000.79,-0.352413,-43.6187,-26.9478,-35.2832,6.09
649539495,649539494,-1,1817,2692,2211.64,0.393098,5.04683,7.49015,6.26849,-0.91
650352245,650352246,0,851,1273,1040.83,0.402719,-1.22487,7.92791,3.35152,0.09
652538325,652538322,-3,1241,2015,1581.33,0.484702,17.6996,11.6508,14.6752,-2.91
653664513,653664512,-1,1343,2114,1684.96,0.453676,5.04683,10.2433,7.64509,-0.91
654935202,654935201,-1,1169,1261,1214.13,0.0757564,5.04683,-7.0434,-0.998284,-0.91
656697631,656697631,0,1250,1284,1266.89,0.0268367,-1.22487,-9.30038,-5.26262,0.09
657949671,657949670,-1,1214,1853,1499.85,0.422885,5.04683,8.8448,6.94582,-0.91
660325310,660325307,-3,1371,1928,1625.82,0.340943,17.6996,5.11436,11.407,-2.91
664299721,664299718,-3,924,1707,1255.89,0.613781,17.6996,17.4872,17.5934,-2.91
667474095,667474091,-4,956,1169,1057.15,0.201146,24.2562,-1.27857,11.4888,-3.91
669819902,669819903,0,1145,1638,1369.49,0.358071,-1.22487,5.89517,2.33515,0.09
671537851,671537851,0,1258,1914,1551.71,0.419672,-1.22487,8.69876,3.73695,0.09
675021955,675021954,-1,1078,1507,1274.58,0.335013,5.04683,4.84395,4.94539,-0.91
677307499,677307498,-1,1004,1821,1352.14,0.595394,5.04683,16.6577,10.8523,-0.91
677490815,677490813,-2,1234,1904,1532.82,0.433696,11.3257,9.33604,10.3309,-1.91
678188451,678188450,-1,1289,2003,1606.82,0.440779,5.04683,9.65778,7.35231,-0.91
679498210,679498209,-1,1565,2095,1810.71,0.291668,5.04683,2.86513,3.95598,-0.91
689527091,689527088,-3,1387,1934,1637.82,0.332447,17.6996,4.72689,11.2133,-2.91
689884948,689884946,-2,1103,1610,1332.6,0.3782,11.3257,6.81206,9.0689,-1.91
693693794,693693793,-1,1132,1413,1264.72,0.221729,5.04683,-0.33503,2.3559,-0.91
694724650,694724655,4,5065,20532,10197.8,1.39963,-27.9949,52.3553,12.1802,4.09
699893898,699893894,-4,1266,1984,1584.85,0.449253,24.2562,10.0425,17.1494,-3.91
700148911,700148910,-1,1531,2247,1854.77,0.383675,5.04683,7.0613,6.05406,-0.91
700280509,700280510,0,1380,2528,1867.79,0.605345,-1.22487,17.1067,7.94092,0.09
701692098,701692098,0,1595,2497,1995.67,0.448216,-1.22487,9.99549,4.38531,0.09
705390643,705390644,0,1184,1837,1474.79,0.439235,-1.22487,9.58766,4.1814,0.09
708609459,708609458,-1,1352,1756,1540.82,0.261454,5.04683,1.48374,3.26528,-0.91
711857885,711857884,-1,1440,2996,2077.07,0.732635,5.04683,22.834,13.9404,-0.91
712723527,712723527,0,1206,1581,1380.83,0.270748,-1.22487,1.90888,0.342008,0.09
718997454,718997453,-1,1131,1919,1473.22,0.528702,5.04683,13.6438,9.34529,-0.91
719500224,719500243,18,89,1007,299.371,2.42609,-212.938,96.1795,-58.3794,18.09
726028706,726028706,0,1091,1981,1470.13,0.596507,-1.22487,16.7079,7.74154,0.09
726186937,726186958,20,872,1817,1258.74,0.734153,-260.308,22.9021,-118.703,20.09
735676891,735676890,-1,1144,2344,1637.54,0.717328,5.04683,22.1469,13.5969,-0.91
736760323,736760308,-15,1312,2220,1706.65,0.525955,133.542,13.5194,73.5307,-14.91
741574054,741574053,-1,1159,1270,1213.23,0.0914593,5.04683,-6.31986,-0.636513,-0.91
744072435,744072434,-1,1270,1811,1516.57,0.354862,5.04683,5.74892,5.39788,-0.91
745411289,745411293,3,1180,1477,1320.17,0.224499,-20.8744,-0.208137,-10.5413,3.09
751189350,751189350,0,821,1394,1069.8,0.529409,-1.22487,13.6758,6.22546,0.09
752789102,752789099,-3,1676,2301,1963.79,0.316934,17.6996,4.019,10.8593,-2.91
753481043,753481041,-2,1184,2077,1568.17,0.562026,11.3257,15.1508,13.2383,-1.91
764903210,764903209,-1,1422,2298,1807.69,0.479975,5.04683,11.4365,8.24165,-0.91
765185589,765185586,-3,1422,1989,1681.77,0.335568,17.6996,4.86922,11.2844,-2.91
