fTNear,fTFar,fDelT,fQNear,fQFar,d
443928901,443928902,1,1280,1072,-10
444310213,444310214,1,1063,1779,-10
447074687,447074689,2,1042,1161,-10
448568413,448568416,3,1245,752,-10
449704246,449704248,2,1501,2016,-10
451395659,451395659,0,1477,1753,-10
457456041,457456043,2,1174,947,-10
462043311,462043314,3,1562,1012,-10
464413510,464413509,-1,1373,1570,-10
465106925,465106925,0,1965,1553,-10
466029331,466029332,1,1437,1736,-10
466778334,466778338,4,1736,1379,-10
476373220,476373227,7,2164,1692,-10
476830310,476830311,1,1739,1543,-10
479792850,479792854,4,1271,1566,-10
480465307,480465305,-2,1392,1279,-10
482228882,482228884,2,1780,1791,-10
482630897,482630895,-2,1840,2305,-10
483421900,483421902,2,1165,1291,-10
486106212,486106218,6,3051,1455,-10
486321526,486321528,2,1775,1994,-10
486461414,486461427,13,1978,1356,-10
486588683,486588697,14,2482,1041,-10
488059234,488059234,0,1360,1558,-10
490442577,490442578,1,1962,2210,-10
492121057,492121059,2,1615,1313,-10
493097952,493097953,1,1486,1611,-10
493518200,493518216,16,1469,980,-10
502244470,502244473,3,1767,1726,-10
505588209,505588213,4,2413,2107,-10
506769737,506769737,0,1133,1233,-10
507560967,507560969,2,1476,1714,-10
507638721,507638723,2,1865,1514,-10
508022297,508022298,1,1773,1644,-10
510530994,510530995,1,2929,2388,-10
511284717,511284719,2,1585,1565,-10
514833098,514833098,0,1438,1763,-10
515943371,515943377,6,1848,1574,-10
516720808,516720810,2,1726,1619,-10
516869567,516869570,3,1463,1529,-10
520393094,520393094,0,1381,2004,-10
526170106,526170110,4,1374,1957,-10
526871312,526871314,2,1445,1359,-10
527632866,527632869,3,2040,1981,-10
527715778,527715781,3,1934,1700,-10
527962106,527962108,2,1330,1457,-10
531208330,531208334,4,1784,1581,-10
531369378,531369377,-1,1300,1465,-10
534064937,534064941,4,1247,1297,-10
536340376,536340377,1,1398,1260,-10
538236437,538236417,-20,1262,996,-10
538828756,538828758,2,1456,1648,-10
546160877,546160877,0,1086,1479,-10
549234055,549234058,3,1264,1769,-10
550408176,550408178,2,851,803,-10
