fTNear,fTFar,fDelT,fQNear,fQFar,d
1283148678,1283148673,-5,1118,3341,30
1283223672,1283223691,19,447,851,30
1285754290,1285754285,-5,933,2569,30
1291086507,1291086504,-3,1012,2783,30
1292228571,1292228586,15,685,1128,30
1296598257,1296598253,-4,2399,4492,30
1303099410,1303099409,-1,1293,1362,30
1303856026,1303856024,-2,920,1598,30
1304663265,1304663285,20,233,1473,30
1304888038,1304888033,-5,933,2168,30
1305256958,1305256956,-2,1880,4072,30
1314485254,1314485251,-3,1282,2624,30
1319901116,1319901115,-1,1379,1913,30
1319933299,1319933294,-5,216,631,30
1320836684,1320836695,11,209,741,30
1321154714,1321154729,15,714,1099,30
1321650491,1321650487,-4,1350,2341,30
1323023405,1323023400,-5,1096,2257,30
1323247697,1323247682,-15,35,1255,30
1323361580,1323361579,-1,182,1061,30
1323622233,1323622229,-4,832,1632,30
1326277202,1326277204,2,1238,2255,30
1326397681,1326397674,-7,834,3738,30
1326893038,1326893035,-3,1076,2914,30
1330553454,1330553449,-5,968,3058,30
1331593123,1331593118,-5,827,3425,30
1339012983,1339012980,-3,1372,3589,30
1344455094,1344455090,-4,1120,2497,30
1353606382,1353606377,-5,1505,3762,30
1357420467,1357420462,-5,1245,3057,30
1362395887,1362395882,-5,1540,3791,30
1363941129,1363941122,-7,1300,3916,30
1364639624,1364639621,-3,768,2278,30
1365297005,1365297001,-4,969,2876,30
1368359479,1368359473,-6,1076,2757,30
1370599139,1370599136,-3,1319,2913,30
1372637901,1372637915,14,11303,37018,30
1377524850,1377524846,-4,844,855,30
1379815188,1379815187,-1,1540,2134,30
1386696466,1386696461,-5,1216,2775,30
1389719189,1389719182,-7,998,3502,30
1395587661,1395587658,-3,990,2768,30
1396038736,1396038751,15,264,1154,30
1396807422,1396807417,-5,1048,3188,30
1397537961,1397537954,-7,1198,2722,30
1399940820,1399940814,-6,1290,3695,30
1401903601,1401903595,-6,907,3425,30
1405082929,1405082923,-6,1179,3407,30
1408518941,1408518937,-4,1670,3425,30
1408642938,1408642933,-5,935,1956,30
1409358733,1409358728,-5,1180,3524,30
1409874099,1409874095,-4,1131,2460,30
1411084073,1411084068,-5,1443,3359,30
1413634515,1413634511,-4,1398,3744,30
1426478814,1426478810,-4,846,1985,30
1430279579,1430279575,-4,1568,3381,30
1430665539,1430665534,-5,1552,2890,30
1435656014,1435655997,-17,1781,1247,30
1437470847,1437470843,-4,959,3066,30
1449807685,1449807678,-7,2134,8064,30
1451028038,1451028034,-4,1239,4009,30
1451800962,1451800956,-6,594,2814,30
1455453549,1455453546,-3,1391,3882,30
1457211098,1457211095,-3,1360,2699,30
1458303089,1458303085,-4,1136,3564,30
1459600418,1459600414,-4,1453,3666,30
1464188741,1464188738,-3,1296,2506,30
1468225815,1468225811,-4,1052,2387,30
1468567546,1468567525,-21,1078,816,30
1468649110,1468649102,-8,1106,2723,30
1478066978,1478066980,2,2302,1264,30
1480970652,1480970648,-4,1456,2156,30
1484209845,1484209840,-5,1047,3639,30
1485366315,1485366312,-3,407,2326,30
1486471058,1486471079,21,547,1854,30
1488037381,1488037385,4,4120,2690,30
1491506731,1491506732,1,1916,2520,30
1493631784,1493631780,-4,1036,2426,30
1498208498,1498208501,3,1139,1325,30
1498605690,1498605683,-7,1155,2968,30
1503119439,1503119435,-4,1396,2919,30
1504327427,1504327426,-1,1017,1285,30
1507048277,1507048273,-4,1086,2567,30
1507585846,1507585843,-3,612,2624,30
1508543589,1508543584,-5,1113,2937,30
1511441221,1511441221,0,23240,20179,30
1512568661,1512568657,-4,877,2543,30
1512871322,1512871313,-9,359,1363,30
1513521658,1513521659,1,1690,1869,30
1520283903,1520283900,-3,1076,3164,30
1521021633,1521021653,20,1333,3912,30
1529010855,1529010849,-6,1409,2815,30
1537921321,1537921315,-6,931,3430,30
1546833313,1546833311,-2,38364,17181,30
1549111518,1549111513,-5,996,1834,30
1550108900,1550108893,-7,557,1993,30
1552442347,1552442351,4,203,876,30
1558615591,1558615589,-2,1286,2199,30
1564232251,1564232246,-5,979,2597,30
1570010167,1570010162,-5,856,2685,30
1570156155,1570156174,19,702,2958,30
1570997575,1570997571,-4,723,3250,30
1572653704,1572653698,-6,872,3123,30
1574540061,1574540055,-6,1007,2404,30
1574881939,1574881954,15,730,3088,30
1578089360,1578089358,-2,1350,3324,30
1578397304,1578397297,-7,988,2723,30
1585340849,1585340846,-3,805,2795,30
1586230830,1586230826,-4,1181,3529,30
1588630194,1588630190,-4,849,2793,30
1594023086,1594023082,-4,1325,2691,30
1596940863,1596940858,-5,1244,3133,30
1597333551,1597333547,-4,1280,3025,30
1597705588,1597705585,-3,1465,2710,30
1599959115,1599959110,-5,780,2265,30
1601949247,1601949242,-5,822,3815,30
1602795587,1602795584,-3,921,3355,30
1607401982,1607401978,-4,637,3995,30
1612925757,1612925755,-2,1229,2412,30
1615119911,1615119908,-3,911,1800,30
1615269702,1615269699,-3,1222,3584,30
1615513217,1615513212,-5,1767,2896,30
1618086785,1618086791,6,2519,853,30
1621206896,1621206891,-5,976,1787,30
1623699959,1623699955,-4,920,2072,30
1628513059,1628513057,-2,1181,2667,30
1637658918,1637658913,-5,822,3395,30
1649993909,1649993903,-6,1134,3607,30
1651067895,1651067890,-5,880,1916,30
1656883658,1656883654,-4,984,2720,30
1659159633,1659159639,6,4273,1521,30
1665458194,1665458193,-1,1073,2474,30
1665738495,1665738493,-2,1195,3143,30
1666241994,1666241991,-3,1489,3008,30
1667382729,1667382725,-4,992,2944,30
1679416782,1679416778,-4,2493,5654,30
1681792302,1681792299,-3,1100,2526,30
1685590921,1685590916,-5,1535,3177,30
1687301883,1687301878,-5,979,3035,30
1687757537,1687757533,-4,971,4510,30
1688688918,1688688912,-6,1521,2948,30
1697984604,1697984599,-5,1017,3238,30
1698688994,1698688989,-5,1040,1935,30
1701686579,1701686573,-6,598,2249,30
1702508034,1702508037,3,2996,2043,30
1709453399,1709453398,-1,1014,2252,30
1721700210,1721700205,-5,857,2964,30
1722152078,1722152073,-5,1229,3386,30
1722749450,1722749444,-6,836,4378,30
1725329094,1725329089,-5,942,3003,30
1726226638,1726226631,-7,991,3649,30
1732317659,1732317653,-6,1064,2869,30
1732688503,1732688498,-5,1353,3511,30
1733345544,1733345562,18,372,1226,30
1734093862,1734093857,-5,930,3010,30
1738292717,1738292714,-3,909,1691,30
1739612402,1739612423,21,718,2771,30
1740924875,1740924870,-5,1233,3012,30
1742974856,1742974852,-4,940,2580,30
1745230893,1745230895,2,1573,1588,30
1751796783,1751796778,-5,1109,3232,30
1756784714,1756784713,-1,1084,1263,30
1757401319,1757401315,-4,1028,2335,30
1760480470,1760480465,-5,1160,3623,30
1762947178,1762947171,-7,1305,3791,30
1763811080,1763811075,-5,1706,3582,30
1766845608,1766845605,-3,1085,2307,30
1769416556,1769416554,-2,713,2403,30
1769491367,1769491362,-5,1030,3574,30
1771274995,1771274993,-2,1203,2643,30
1773447279,1773447275,-4,1037,3304,30
1785897071,1785897065,-6,921,2577,30
1790555286,1790555282,-4,1186,3104,30
1792622845,1792622839,-6,1491,3884,30
1793145270,1793145270,0,1194,1820,30
1795562205,1795562208,3,1839,1279,30
1795884233,1795884230,-3,1348,3005,30
1797550314,1797550309,-5,807,2270,30
1807963781,1807963781,0,22820,21514,30
1808405423,1808405417,-6,743,3419,30
